Time Series(unit:MWh);BJ;TJ;HB;SX;NM;LN;JL;HL;SH;JS;ZJ;AH;FJ;JX;SD;HA;HB;HN;GD;GX;HI;CQ;SC;GZ;YN;XZ;SN;GS;QH;NX;XJ
27;12967.77162;8009.221242;38182.82376;23245.12254;35601.11959;24600.39942;7707.482746;9994.238151;13261.79062;57053.24716;37064.52771;20796.04232;20185.48353;13227.142;59982.69707;34722.23045;20354.64544;17285.36275;48067.27779;14685.72825;2927.716581;9760.733985;21865.85624;14395.38171;15826.33441;680.6211671;16941.36054;13601.32785;8596.015222;9345.540109;30169.17943
28;12747.69246;7838.230852;37967.16282;23041.85393;35244.55587;24352.54556;7507.038186;9928.651273;12753.33017;55256.97419;35565.12529;19846.37664;19445.9935;12280.29816;57761.51554;32802.74329;19183.67314;16049.25166;45505.82345;13794.9309;2539.434552;8893.714806;20862.68878;14155.88863;15329.35926;648.3871969;16221.21147;13643.18289;8484.37713;9266.513876;29898.00015
29;12616.98815;7836.217595;37500.45645;22696.22793;35204.80883;24369.47728;7652.519054;10030.13423;12518.27503;54132.19217;34684.16705;19111.69268;18571.97471;11485.87041;56528.03978;31057.82825;18257.72929;14853.24077;42047.62778;13214.91112;2231.892244;8354.034439;20284.55483;14066.50336;15360.2541;639.150644;15539.55996;13466.91654;8575.165191;9153.516731;29791.53695
30;12674.07935;7745.805315;37227.01424;22841.5663;35500.3682;24383.92681;8147.828635;10933.70528;12513.97705;53944.9152;34544.64236;18714.40182;17947.98878;10841.22297;56511.03457;30326.30649;17748.18106;13945.91011;40425.02055;12930.99546;2127.625774;7978.698071;20422.76379;14307.18733;15069.86087;611.4723277;15171.61749;13225.93049;8629.285481;9151.916816;29698.80179
31;12705.7945;8012.171091;38781.80869;23484.10736;36402.38166;25745.59967;9170.362984;12379.00111;12700.77042;55246.73747;35412.81108;18991.71901;18576.06986;11177.21217;58783.37287;31037.94566;17415.32003;13945.70807;39719.50561;13433.58851;2231.527127;7790.963037;20367.47644;14791.19388;15709.97677;635.1239223;15296.43339;13707.83691;8636.82852;9279.449657;29796.09791
32;13680.54256;8556.169164;40184.74872;25010.13743;37098.40999;26371.7842;9484.488051;12773.09617;13638.66674;56203.46059;37900.79609;19112.60809;18583.51807;10998.64675;60526.93562;32483.37052;17580.55636;15126.80157;41001.95866;14904.71555;2413.707463;7849.554028;20318.50327;16921.35824;17316.99594;684.4649822;16112.28397;14605.64064;9049.483967;9335.601783;29868.07454
33;14850.20669;9343.78697;41338.39023;24541.32754;36896.74752;26127.45839;9792.203745;12814.24282;15907.85516;61176.10369;44971.4848;20223.18867;20116.8083;11596.06802;63316.15183;32766.74213;18628.33129;16767.32234;50268.58272;15916.22704;2717.115246;8938.204126;21020.66863;19655.13378;19242.96149;793.3071827;16950.27212;14665.23563;8894.736437;9068.92995;30261.52925
34;16187.81151;10429.51376;45220.00066;25188.43328;37377.95807;27977.83684;10428.58951;13047.89026;18601.34398;67234.80372;49639.71957;21773.38369;22907.30478;14814.31715;67142.39782;34773.15035;21552.30377;19895.44137;66226.13991;18690.48328;3572.892787;11253.41102;25011.00636;22075.38651;21467.3244;874.1619548;18802.59319;14735.25709;8902.367234;9281.523077;30728.85565
35;16801.68633;10826.19529;47230.644;26064.23077;37825.1352;29109.62281;10781.08497;13406.81784;19649.81669;71388.44237;52081.9978;23459.96805;25394.95009;16662.46304;69965.47504;38063.58158;23169.18787;22678.31095;71182.63313;20191.7964;4203.120372;12481.91382;27393.94943;22984.45016;22874.21256;936.339633;20253.82822;15040.42827;8410.043776;9221.285414;30900.49275
36;17123.0629;11214.3324;49800.70469;27470.36877;38625.88722;29099.02525;10946.23515;14198.32535;19976.75069;72677.57352;51302.45646;25169.66817;27382.70148;18308.18194;72202.83601;41593.71296;24423.20354;25035.80566;74321.22729;21196.77088;4093.993964;13324.3797;29818.47558;23771.93213;23220.24931;966.63504;21692.02426;15232.5875;8571.97691;9281.315786;31424.72845
37;17091.75299;10736.82966;49392.17244;28691.02166;38422.78307;28027.4816;10318.07105;13132.6087;20094.29233;70825.58607;48544.28922;24973.38016;26017.28646;16573.59078;71249.72898;44233.40119;24637.83597;24982.38161;66741.29038;20246.60309;3496.388163;12852.11457;30795.12908;22819.55307;22088.92873;929.7565677;22331.275;15790.45642;8622.39977;9339.674599;31569.06751
38;16975.86526;10831.72549;47793.58263;27668.7374;37692.79074;28244.29914;10423.38414;12668.35414;20273.8104;73866.95351;52031.86273;26174.72728;25561.50202;17041.2187;70891.83684;45814.86478;26257.70669;25465.84655;64799.88689;20117.93832;3176.568964;13039.41946;31337.33698;20985.23189;20190.23478;876.485978;22930.61821;15189.71086;9009.082258;9501.163945;31614.16055
39;16948.43328;11069.18717;48348.23649;27195.87784;37517.23232;28890.96179;10507.36167;12883.011;20350.8755;73898.62537;53306.70223;26168.73398;26625.38096;17836.66179;72379.47135;44940.95633;26758.13685;25459.74751;74082.41925;20813.3729;3089.733731;13609.81198;31764.11695;20955.02574;20174.62672;838.6179591;22814.42424;14941.36101;9043.405856;9473.581011;31498.2254
40;16832.33508;11123.38897;49498.37885;27512.20854;38089.8771;28700.34576;10632.45035;12908.23268;19933.32913;73947.35206;52940.28872;25910.90512;26469.54031;17990.88298;73140.23745;44212.18135;26681.05737;24458.96403;76065.66214;21612.82395;3067.10864;13890.7874;31910.0902;21227.85764;20544.33267;842.521121;22813.70127;14833.57062;9225.26068;9640.261669;31327.8565
41;16994.14942;11118.20025;49146.08613;27702.7408;38321.18904;29028.36878;10786.96087;13589.23976;19926.08911;72753.33573;52696.66677;25502.71402;26648.95191;18028.69606;71929.13734;43576.37595;26258.12177;24070.3951;75972.66945;21513.88501;3200.861336;14307.93212;31478.66498;20930.38571;21069.6343;859.3225874;22663.66964;15005.48734;9158.976501;9633.140275;31422.78049
42;17063.02589;11064.37803;50061.23447;28717.61041;39276.65914;28384.09279;10943.79307;14313.75198;19277.72339;70048.51076;50275.13802;25045.33958;26544.24551;17935.24173;71079.56468;42378.42761;25487.91354;24666.18164;74521.04337;21969.73591;3775.153343;14141.46065;31149.20976;22511.52968;22706.19512;897.5915974;22634.05159;15702.64334;8843.615183;10076.82226;31547.0671
43;16833.47735;10664.61253;49291.75198;28725.3603;39608.22835;27675.7545;10570.19964;13549.10475;18279.67731;66111.58767;45619.78671;23492.06851;25570.02153;16883.44282;68506.71875;41505.75143;23154.92215;23001.94465;64509.3948;20927.24765;3768.400807;13336.96078;29794.52953;22931.50109;23338.7131;897.5226695;22040.16392;16043.28846;8805.856453;10241.88457;31614.14786
44;16601.36005;10248.44332;48244.65084;28403.11144;39719.82783;27335.95447;10406.8712;13288.16658;18106.39578;66423.63804;45140.57328;23705.49702;25053.28679;16095.47777;66599.39262;39917.72973;21520.55419;21886.62019;64738.89288;20042.46437;3729.282685;12295.19723;28607.503;22444.03329;22145.34038;885.4591398;21139.36379;15731.45872;9081.948836;10241.71096;31901.2291
45;16804.85158;10384.31906;48967.21106;29122.46967;39508.8007;28206.99687;10588.21554;13436.22917;18158.01919;70250.40049;46368.5111;27028.92225;25211.50869;18302.26292;66603.85819;41665.09525;24164.85443;24975.62181;65850.86353;21303.17496;4179.942905;12391.99261;28633.1942;23161.50027;22117.15251;897.1689078;21926.47763;15319.51541;9002.640606;10337.91317;31851.28314
46;16670.13571;10152.93033;49375.95034;28402.49514;39152.9038;27960.45807;10073.25144;12724.76277;18108.96498;70490.95786;46713.42188;27366.92806;25571.10179;19582.33692;64966.05461;43373.52343;25764.74597;26154.07593;65402.90867;21497.17658;3946.019259;13324.14566;30970.98732;22389.19512;22118.31003;1008.001359;22797.7822;15628.36418;9166.32352;10403.39712;31751.36211
